0.352f338-0.311f128-0.31f105+0.294f442+0.294f472...,-0.423f453-0.422f493-0.334f281-0.333f433-0.332f153...,0.365f336+0.364f64+0.359f455-0.279f442-0.279f472...,'0.3  f241+0.299f475-0.286f28-0.286f451-0.286f318...','0.512f48+0.51 f378+0.196f455-0.19f318-0.189f28...',-0.151f312-0.142f322+0.125f498-0.115f138-0.114f481...,0.144f61-0.143f267+0.123f104-0.116f211+0.108f17...,'0.13 f489+0.126f141-0.121f278+0.118f228-0.112f268...',-0.139f250-0.128f339+0.117f165+0.116f486-0.116f195...,0.147f334+0.131f424+0.115f71-0.108f132+0.104f87...,-0.13f257-0.116f263+0.113f185-0.112f411-0.11f316...,-0.16f457-0.154f368+0.129f216-0.122f286+0.119f383...,-0.164f137-0.132f166+0.126f252-0.119f292+0.118f302...,0.133f117-0.116f147-0.114f383+0.111f84+0.111f50...,0.145f402-0.138f391-0.131f331-0.122f449-0.115f36...,-0.127f148+0.122f98+0.117f383+0.115f332+0.114f204...,-0.142f256+0.135f151-0.121f413-0.118f100-0.113f229...,-0.132f370+0.128f483-0.118f407+0.117f254+0.116f249...,-0.134f118+0.129f256-0.127f350-0.124f41+0.122f113...,-0.13f298-0.128f123+0.125f101+0.121f333+0.116f389...,-0.177f243-0.163f285+0.129f177-0.123f43-0.119f406...,'-0.124f496+0.12 f334+0.12 f139+0.113f435-0.108f328...',-0.16f70-0.124f283+0.123f188-0.121f137+0.117f467...,'-0.161f466+0.153f144+0.129f310+0.11 f365-0.106f499...',0.187f68+0.121f221-0.121f489-0.119f12-0.111f62...,0.153f183-0.145f136-0.135f355-0.134f163-0.127f3...,0.132f404+0.123f232+0.116f478-0.115f262-0.11f115...,'0.17 f484-0.14f168-0.129f307+0.129f49+0.12 f391...',-0.169f397-0.139f376+0.134f25-0.131f414+0.123f496...,-0.139f94+0.132f450+0.125f209+0.124f361-0.123f445...,-0.131f432+0.125f308+0.123f324-0.121f245+0.119f430...,0.143f452-0.13f445-0.121f385-0.12f82-0.113f386...,-0.156f356-0.143f417-0.134f421-0.126f492-0.122f344...,'-0.126f414-0.122f261+0.12 f162+0.118f429-0.115f57...',-0.163f129-0.129f314+0.121f152+0.115f164+0.114f106...,-0.142f275+0.137f8-0.132f313+0.128f42-0.114f206...,-0.158f149+0.136f116+0.136f51-0.134f171-0.122f165...,'-0.148f430+0.14 f381-0.129f223-0.128f276-0.125f96...',-0.147f407+0.137f429+0.126f361+0.123f11-0.12f199...,-0.177f448-0.169f233+0.136f236-0.13f409+0.129f26...,label
4.96134,-0.581797,2.461466,1.833523,0.015041,-1.385375,0.27693,1.652297,-1.237118,-0.089077,1.502063,-1.184063,0.742457,1.57309,-0.873856,0.401105,-1.396982,-1.922492,1.255903,-0.383886,0.557686,-0.779125,-0.602143,0.083604,1.529772,-0.37756,-0.822189,1.299329,0.212754,-1.589173,0.509095,-1.548746,-0.353315,0.648756,0.102924,-1.907878,-0.799772,-2.279768,1.060261,-0.733826,0
0.460862,2.865963,-0.038995,1.385465,1.921557,0.59384,-0.255263,1.293217,-2.019216,-1.147141,0.076105,-2.090584,-0.066117,1.928498,0.026687,0.220391,-0.793248,-0.018364,1.86461,-1.044226,-0.125245,0.081981,1.666472,-1.786927,0.897293,-2.0637,-0.218388,0.887229,0.299836,-0.237229,-0.588467,-0.824861,2.095487,1.198626,-1.227474,0.918562,0.704354,-0.826727,-0.723903,1.05616,0
-1.127437,-2.237762,-0.045525,-0.477377,-1.957695,0.541915,0.022278,-1.112146,-0.303819,-0.484772,-1.15325,-1.890639,2.400402,-0.596686,2.359023,2.424074,0.016913,0.009659,-1.472044,0.179384,-2.382624,2.449818,0.548635,0.337695,1.772142,1.216472,-2.767135,2.358891,-1.200984,0.265829,-0.568523,0.345439,0.03847,1.348938,-0.221799,0.542585,-0.125054,-0.136081,1.816771,-1.820231,0
-2.892243,-1.863008,-1.580227,0.65535,1.257713,0.010264,-0.84142,0.342184,1.224031,-1.438728,-0.586097,2.557296,0.456372,-0.898953,1.278742,-2.259185,-0.229588,0.490913,1.006775,0.275988,0.231215,-0.81684,-0.528341,-0.930368,-2.365305,-0.06489,-0.534274,0.7932,-0.126904,-1.471024,-1.345954,0.738837,-0.901297,0.988427,-0.670285,2.194518,-0.95129,-1.969302,0.193053,-0.305292,1
0.667189,1.914533,-1.667552,2.264101,-1.799848,-1.143655,1.028654,-1.469558,0.852335,1.439564,0.160811,0.846254,0.518339,-0.270324,0.434477,-0.465636,-1.368956,1.355048,0.077518,0.420384,-0.320352,1.079173,-0.870012,-2.87915,1.760757,-2.203229,-0.027438,-0.884251,0.289145,-2.174376,-0.16611,0.361993,2.109957,-0.691803,-0.907309,0.732993,0.64091,-0.435572,0.271841,0.863358,1
-3.140042,2.224386,-1.166433,-1.3839,-1.10912,-0.772659,-1.759315,-0.180776,0.961629,-0.41034,0.544317,-0.52661,1.712699,-0.328445,0.458806,-2.12388,0.467348,0.65423,-0.092443,-1.061335,-1.389852,-1.426994,3.126052,-0.543087,-0.834713,-0.93592,0.179698,0.83892,-0.285636,1.064361,0.374586,-0.306487,-1.176716,-0.960311,0.26716,-1.45051,0.724148,-0.39064,0.395518,-1.121123,1
0.103214,-1.375789,-0.291806,-1.603722,-2.136896,-0.142263,-0.158026,-2.008958,0.96854,1.014164,-0.38995,-2.192686,0.325454,-2.365756,0.693769,-1.558458,-0.35583,3.435792,-1.40146,2.091207,0.907098,-0.034648,2.053964,0.683037,0.808864,0.17508,-1.055568,0.579464,-1.048412,-0.617786,-1.392493,0.529434,-0.6609,1.885368,-0.765092,-1.688888,-1.525568,-1.043894,2.773414,1.972523,1
-2.493755,2.217368,-1.664064,0.856327,1.166564,1.184576,0.750224,1.425728,0.07982,-3.109374,1.578601,1.569428,-1.510343,-1.779496,-0.066176,0.155332,0.966364,1.060273,1.30696,-0.288769,1.394257,-0.399923,-0.688505,-2.515745,1.476754,0.647866,-0.021034,-0.406838,0.585363,-1.828417,-0.378691,-0.290602,1.612582,2.409221,1.514588,1.155219,1.828844,0.931083,0.339221,-0.4862,0
-3.785149,-1.981298,-1.071322,0.362225,0.418004,-1.557743,-1.321511,1.183874,-0.55461,-0.606594,-1.556399,0.317309,-1.29283,-0.947123,1.434564,-2.564656,-3.012932,1.705031,1.386397,1.68136,1.183047,-0.656117,-1.74816,-1.463007,0.890276,-0.486513,-1.549107,-0.763206,-2.457555,-2.035065,-1.518601,0.695204,-2.214003,-1.112752,-0.688752,3.06759,1.021893,2.767352,-2.624112,-2.426003,1
-2.341084,-2.542078,3.511887,-1.569587,1.438666,-0.970744,0.698894,1.071124,1.686176,-0.278867,-1.273615,-0.650547,-1.396779,-0.588825,-2.062705,2.001449,0.840044,0.256446,0.977374,-0.54447,-1.057918,2.11386,-0.497847,1.054739,-0.529083,1.284093,-0.08333,-2.527769,1.604143,0.364726,-0.134332,1.502727,2.095209,-0.10169,-1.458397,1.35723,-2.768996,-3.025487,-0.386123,0.068969,0
0.679376,-0.947662,3.624375,0.251289,-0.606473,-0.987048,3.09689,2.402419,-1.053002,-1.011378,-0.12954,0.23266,0.206357,-0.76425,-1.648793,-1.7769,-1.432567,-2.498575,3.095981,0.901376,-0.601803,-1.828741,0.399501,1.664199,1.561271,-0.372397,-0.30334,1.798984,-1.018,-0.356249,-1.8283,1.276711,-2.688363,-0.315487,0.879512,3.333781,0.92385,-0.316886,-0.988023,1.074368,0
1.998193,-1.375364,-2.270861,-0.773118,0.785269,0.863526,2.021129,-0.932223,1.40628,0.001122,0.076535,1.195859,0.076706,-2.294213,-1.248319,-0.362198,0.531843,0.149592,0.657477,-2.066688,-0.371829,0.073967,-1.111301,-1.25493,0.260457,1.931821,-0.341243,-1.699215,-0.883926,-2.690177,-1.445771,0.003171,-0.731325,-0.644932,0.642106,-2.350689,0.448241,-2.085637,-1.988463,-0.280731,0
3.013117,-3.338687,-0.677961,-0.515536,0.879443,0.852956,-1.485997,1.753048,-1.4121,-1.569515,1.193986,-0.574656,1.315094,0.99732,-0.40571,-3.145228,1.481015,1.0007,-1.269365,-0.831051,-1.902839,-1.582224,-0.755643,-0.341157,-0.894315,-2.054381,1.158695,-0.486327,0.138228,1.251183,-2.136043,0.822954,-2.096391,1.520271,0.592421,0.118602,-1.631707,-0.139867,1.363337,2.446301,1
-0.163362,-1.408452,-1.366989,1.202971,-3.320731,-1.209242,1.589882,1.575713,0.338355,2.480451,-2.196772,-0.048311,-1.199053,0.859014,0.324025,0.065466,0.745635,-1.282886,1.542525,1.145706,0.151436,-0.239484,-1.637387,-0.117533,-0.845864,1.421597,-3.985546,0.701506,-1.059142,-0.602165,0.273499,-0.250877,-1.560141,-0.676969,0.719918,1.951696,-1.126088,0.949014,1.472021,-0.861482,0
-2.155283,-2.243123,0.314844,-2.407165,1.152095,-2.251102,-1.479917,0.311831,0.582522,-0.07504,0.490159,0.610661,-0.111297,-1.052133,-0.614794,-0.664273,-1.858984,0.46753,1.016139,-1.341273,0.973862,0.277907,0.446685,0.81969,0.083091,-1.131907,-0.005282,1.050613,-0.016461,1.341599,0.71478,-1.124784,1.748313,-0.187634,0.183395,0.167998,-0.9029,0.479656,-0.348175,1.798407,0
2.298164,-3.989831,-0.841295,2.804481,-1.491173,1.199163,-2.493306,0.471522,1.598812,0.568154,-0.213454,0.710956,0.025464,0.661659,-1.290428,-1.288394,-0.726122,-1.26275,-0.88283,0.014065,-1.775363,-2.525207,-1.321423,-0.429617,0.816681,-0.173274,-0.170715,-1.167783,0.243563,-0.447506,-0.284052,0.771884,0.072962,0.728506,-0.649677,-0.241074,-0.113159,-0.891591,1.206381,0.401514,0
-0.764973,4.720471,1.703678,0.904531,-1.706757,-1.60757,-0.895914,1.104897,-1.162134,-0.430888,-0.848916,-1.003535,-0.571345,-1.628039,-0.512021,-0.079416,0.548963,-2.029691,-0.449366,-2.967075,0.059109,1.711237,2.411187,-1.035899,0.101195,0.336004,0.322546,0.316678,-1.283132,0.026736,-0.209307,1.524117,-1.639033,1.317874,-0.47952,1.383413,2.039125,0.837487,0.891949,0.335118,0
1.70208,-2.200715,4.473064,-0.658959,3.203363,-2.054091,0.560689,0.790367,0.196961,-0.870597,-1.462243,1.671931,-0.570414,-0.572131,-1.343073,0.859401,-1.7914,-0.151033,-0.473352,-0.364778,-0.450781,0.441075,-1.707887,-0.150297,-0.356035,-2.814862,-0.03549,-0.158816,1.399296,1.632933,0.49251,0.4378,1.684063,-1.56907,-0.79745,-2.326434,1.698713,0.489871,0.809849,1.993379,1
2.838388,-3.643192,2.243668,0.398048,-0.680235,-3.070789,-0.326617,1.685603,-0.719685,1.922073,0.767017,-3.321693,2.910522,1.012427,-1.567059,0.078458,-0.438476,1.430564,0.316854,2.01451,1.50115,-2.338758,-0.193983,0.829957,-0.309412,0.606552,-1.230396,-0.247633,2.133872,-0.095641,-2.088907,1.508007,-1.083494,1.444798,1.875824,-0.074517,-2.615025,1.747187,-0.220618,2.072535,0
-3.455865,3.182204,-1.927981,-0.718962,-0.712421,-0.078747,-1.838532,1.435627,1.646069,-0.009635,0.923189,0.620883,-1.890436,-0.729798,-0.13447,2.412137,-2.197365,1.447536,-4.168459,1.381841,0.022173,-0.828271,2.602637,2.629132,0.952361,-1.236717,-1.64366,0.193014,2.306536,-1.254591,0.6501,-1.522646,-0.523073,-0.258413,-1.375136,-2.032329,-0.317738,-3.09939,0.520872,0.559328,1
