0.352f338-0.311f128-0.31f105+0.294f442+0.294f472...,-0.423f453-0.422f493-0.334f281-0.333f433-0.332f153...,0.365f336+0.364f64+0.359f455-0.279f442-0.279f472...,'0.3  f241+0.299f475-0.286f28-0.286f451-0.286f318...','0.512f48+0.51 f378+0.196f455-0.19f318-0.189f28...',-0.151f312-0.142f322+0.125f498-0.115f138-0.114f481...,0.144f61-0.143f267+0.123f104-0.116f211+0.108f17...,'0.13 f489+0.126f141-0.121f278+0.118f228-0.112f268...',-0.139f250-0.128f339+0.117f165+0.116f486-0.116f195...,0.147f334+0.131f424+0.115f71-0.108f132+0.104f87...,-0.13f257-0.116f263+0.113f185-0.112f411-0.11f316...,-0.16f457-0.154f368+0.129f216-0.122f286+0.119f383...,-0.164f137-0.132f166+0.126f252-0.119f292+0.118f302...,0.133f117-0.116f147-0.114f383+0.111f84+0.111f50...,0.145f402-0.138f391-0.131f331-0.122f449-0.115f36...,-0.127f148+0.122f98+0.117f383+0.115f332+0.114f204...,-0.142f256+0.135f151-0.121f413-0.118f100-0.113f229...,-0.132f370+0.128f483-0.118f407+0.117f254+0.116f249...,-0.134f118+0.129f256-0.127f350-0.124f41+0.122f113...,-0.13f298-0.128f123+0.125f101+0.121f333+0.116f389...,-0.177f243-0.163f285+0.129f177-0.123f43-0.119f406...,'-0.124f496+0.12 f334+0.12 f139+0.113f435-0.108f328...',-0.16f70-0.124f283+0.123f188-0.121f137+0.117f467...,'-0.161f466+0.153f144+0.129f310+0.11 f365-0.106f499...',0.187f68+0.121f221-0.121f489-0.119f12-0.111f62...,0.153f183-0.145f136-0.135f355-0.134f163-0.127f3...,0.132f404+0.123f232+0.116f478-0.115f262-0.11f115...,'0.17 f484-0.14f168-0.129f307+0.129f49+0.12 f391...',-0.169f397-0.139f376+0.134f25-0.131f414+0.123f496...,-0.139f94+0.132f450+0.125f209+0.124f361-0.123f445...,-0.131f432+0.125f308+0.123f324-0.121f245+0.119f430...,0.143f452-0.13f445-0.121f385-0.12f82-0.113f386...,-0.156f356-0.143f417-0.134f421-0.126f492-0.122f344...,'-0.126f414-0.122f261+0.12 f162+0.118f429-0.115f57...',-0.163f129-0.129f314+0.121f152+0.115f164+0.114f106...,-0.142f275+0.137f8-0.132f313+0.128f42-0.114f206...,-0.158f149+0.136f116+0.136f51-0.134f171-0.122f165...,'-0.148f430+0.14 f381-0.129f223-0.128f276-0.125f96...',-0.147f407+0.137f429+0.126f361+0.123f11-0.12f199...,-0.177f448-0.169f233+0.136f236-0.13f409+0.129f26...,'0.144f461-0.132f311+0.12 f106-0.113f49-0.109f138...',0.158f181+0.119f175+0.116f163-0.116f80-0.115f280...,'0.15 f176+0.135f259+0.122f236-0.118f345-0.107f408...',-0.162f347+0.159f419+0.159f213+0.156f273+0.139f123...,-0.151f468-0.148f86+0.131f95+0.128f17-0.12f204...,'0.18 f218-0.135f100-0.125f406-0.121f146+0.119f39...',0.134f180+0.129f302+0.123f6+0.118f445+0.117f175...,-0.211f97-0.164f399-0.137f159+0.134f415-0.129f474...,-0.165f195-0.145f152+0.138f65-0.128f142-0.118f108...,-0.151f450+0.118f486-0.115f424+0.114f470+0.112f380...,-0.138f393-0.129f354+0.124f481+0.119f204-0.115f261...,'0.14 f456-0.136f189+0.136f4-0.123f8-0.121f143...',0.124f430+0.122f189-0.121f436+0.121f62-0.12f381...,0.161f483-0.149f171+0.128f471+0.126f213-0.123f441...,-0.121f119-0.12f24+0.116f315+0.113f446+0.113f454...,'0.144f377+0.132f296+0.13 f332+0.127f363+0.122f337...',0.168f157-0.128f252-0.126f445-0.124f214+0.124f470...,'-0.135f436-0.134f309+0.13 f459+0.115f452+0.113f122...','0.15 f201-0.124f396+0.118f308-0.115f21+0.114f496...',-0.145f377+0.128f91-0.127f465-0.124f394+0.121f379...,-0.137f260-0.134f238-0.122f257-0.118f334+0.118f68...,'-0.138f62-0.125f47-0.125f396+0.12 f371+0.118f176...',-0.139f103-0.134f142-0.131f118-0.129f212-0.124f466...,'-0.155f343-0.144f406-0.136f250+0.13 f377+0.123f454...','0.154f168-0.143f101-0.123f69-0.122f441+0.12 f160...',-0.134f437+0.118f420+0.108f278+0.108f285-0.107f458...,-0.134f246+0.124f93+0.117f76-0.113f71-0.112f224...,-0.132f54-0.129f332-0.121f402-0.12f440-0.119f449...,-0.131f428-0.13f78+0.126f38+0.121f199-0.119f174...,'-0.142f73+0.135f5-0.122f341+0.121f314+0.12 f47...','0.149f263+0.13 f193-0.12f461+0.113f73-0.11f345...',0.156f361+0.131f215+0.113f11+0.113f68-0.111f235...,0.145f449-0.129f428+0.123f178+0.123f401+0.121f196...,-0.137f325+0.132f317-0.126f11-0.125f401-0.121f186...,0.156f375-0.141f52+0.123f471+0.115f494-0.113f324...,-0.163f142-0.144f228-0.125f293-0.122f343-0.114f445...,-0.135f15-0.123f201-0.119f337+0.119f490-0.111f268...,0.161f484-0.151f294-0.122f305+0.117f139-0.114f310...,0.136f226+0.127f232-0.12f350-0.107f371-0.106f198...,'-0.127f321+0.12 f196+0.119f399+0.117f426-0.112f431...',label
4.96134,-0.581797,2.461466,1.833523,0.015041,-1.385375,0.27693,1.652297,-1.237118,-0.089077,1.502063,-1.184063,0.742457,1.57309,-0.873856,0.401105,-1.396982,-1.922492,1.255903,-0.383886,0.557686,-0.779125,-0.602143,0.083604,1.529772,-0.37756,-0.822189,1.299329,0.212754,-1.589173,0.509095,-1.548746,-0.353315,0.648756,0.102924,-1.907878,-0.799772,-2.279768,1.060261,-0.733826,0.847216,0.263578,-0.66788,-0.445401,0.214923,0.349583,1.56006,0.746,-0.32242,1.329159,0.734015,0.326715,-0.37749,0.231263,-1.811758,-0.135555,-0.66438,0.064229,1.966059,-0.526723,-0.734998,2.934557,-0.843334,0.846032,0.431631,-0.723182,-0.466991,-0.82535,-0.040196,-0.301067,-1.087024,-0.675523,0.446052,0.729486,-1.008138,-2.622898,-0.170097,-0.167832,-0.133564,-0.406978,0
0.460862,2.865963,-0.038995,1.385465,1.921557,0.59384,-0.255263,1.293217,-2.019216,-1.147141,0.076105,-2.090584,-0.066117,1.928498,0.026687,0.220391,-0.793248,-0.018364,1.86461,-1.044226,-0.125245,0.081981,1.666472,-1.786927,0.897293,-2.0637,-0.218388,0.887229,0.299836,-0.237229,-0.588467,-0.824861,2.095487,1.198626,-1.227474,0.918562,0.704354,-0.826727,-0.723903,1.05616,0.000119,-0.136555,-0.537632,1.089086,1.517576,-2.728837,1.717562,-1.593173,-0.67434,-0.264759,-0.392793,0.971757,-2.381996,-2.905649,0.005705,-0.933211,-1.435266,-2.762165,-1.720379,-1.831953,0.377504,0.788185,0.972649,1.765717,-1.270451,1.568881,0.022932,-1.418485,-1.055807,1.279508,-1.965221,1.345423,0.025936,0.796206,0.858316,1.001448,0.120448,0.112955,0.539968,-1.42676,0
-1.127437,-2.237762,-0.045525,-0.477377,-1.957695,0.541915,0.022278,-1.112146,-0.303819,-0.484772,-1.15325,-1.890639,2.400402,-0.596686,2.359023,2.424074,0.016913,0.009659,-1.472044,0.179384,-2.382624,2.449818,0.548635,0.337695,1.772142,1.216472,-2.767135,2.358891,-1.200984,0.265829,-0.568523,0.345439,0.03847,1.348938,-0.221799,0.542585,-0.125054,-0.136081,1.816771,-1.820231,-0.974299,-1.194353,-0.189066,-0.084705,1.096306,-1.200469,1.637032,0.437736,-2.433333,0.407231,-2.149272,1.17617,3.159722,-1.047967,0.884217,0.403756,-0.433451,1.39664,-2.112834,-0.48333,0.979357,1.550922,1.1002,-1.050136,1.071721,2.428435,-1.28046,2.594938,0.591816,-2.359735,2.008396,-0.38931,0.363595,0.062533,0.27313,1.374291,0.07682,-0.313477,-1.414902,1.012956,0
-2.892243,-1.863008,-1.580227,0.65535,1.257713,0.010264,-0.84142,0.342184,1.224031,-1.438728,-0.586097,2.557296,0.456372,-0.898953,1.278742,-2.259185,-0.229588,0.490913,1.006775,0.275988,0.231215,-0.81684,-0.528341,-0.930368,-2.365305,-0.06489,-0.534274,0.7932,-0.126904,-1.471024,-1.345954,0.738837,-0.901297,0.988427,-0.670285,2.194518,-0.95129,-1.969302,0.193053,-0.305292,-0.720417,-0.792909,-1.394566,0.952795,0.777054,-1.933602,-0.282884,2.8237,1.469965,-1.439594,0.743642,1.147177,-0.43761,-0.10939,0.241779,0.658604,-0.358755,-0.788371,-0.086375,-0.552864,-0.451132,-0.602249,0.211366,0.556443,-0.419653,-0.299081,0.772334,-0.521011,-0.616126,0.162864,1.948231,-0.529393,-1.028744,1.298204,0.60608,0.900758,-0.348234,-0.903311,-0.804205,0.307849,1
0.667189,1.914533,-1.667552,2.264101,-1.799848,-1.143655,1.028654,-1.469558,0.852335,1.439564,0.160811,0.846254,0.518339,-0.270324,0.434477,-0.465636,-1.368956,1.355048,0.077518,0.420384,-0.320352,1.079173,-0.870012,-2.87915,1.760757,-2.203229,-0.027438,-0.884251,0.289145,-2.174376,-0.16611,0.361993,2.109957,-0.691803,-0.907309,0.732993,0.64091,-0.435572,0.271841,0.863358,1.204235,-1.753539,0.402644,-0.186002,-0.215254,-0.46185,-1.738555,-2.680066,-1.286519,0.139589,1.662913,0.63331,-1.879697,-0.39611,0.440598,-0.333386,-0.534777,0.161272,-1.301686,-0.436494,-3.111079,0.620427,0.681602,1.601513,0.271818,-3.062588,2.020629,2.854001,0.444589,0.373356,0.318205,0.868593,0.108111,-0.098717,-0.156662,0.391578,0.352343,0.579549,0.626811,0.596731,1
-3.140042,2.224386,-1.166433,-1.3839,-1.10912,-0.772659,-1.759315,-0.180776,0.961629,-0.41034,0.544317,-0.52661,1.712699,-0.328445,0.458806,-2.12388,0.467348,0.65423,-0.092443,-1.061335,-1.389852,-1.426994,3.126052,-0.543087,-0.834713,-0.93592,0.179698,0.83892,-0.285636,1.064361,0.374586,-0.306487,-1.176716,-0.960311,0.26716,-1.45051,0.724148,-0.39064,0.395518,-1.121123,0.316857,1.784021,-0.858557,0.826096,0.497087,0.448862,-0.209333,0.264954,2.566685,-0.406245,1.209468,-0.149644,0.288792,0.576457,-0.909663,0.004623,-0.380226,-2.610196,3.174999,0.151879,-0.012411,0.483599,-0.857958,1.120115,1.930473,0.538358,0.080749,-1.570496,0.040256,-1.068035,0.354057,-2.678111,-0.786602,1.06409,-0.903436,2.825094,0.320419,0.472708,-1.676271,-3.740746,1
0.103214,-1.375789,-0.291806,-1.603722,-2.136896,-0.142263,-0.158026,-2.008958,0.96854,1.014164,-0.38995,-2.192686,0.325454,-2.365756,0.693769,-1.558458,-0.35583,3.435792,-1.40146,2.091207,0.907098,-0.034648,2.053964,0.683037,0.808864,0.17508,-1.055568,0.579464,-1.048412,-0.617786,-1.392493,0.529434,-0.6609,1.885368,-0.765092,-1.688888,-1.525568,-1.043894,2.773414,1.972523,-0.344694,-1.040566,-0.901356,-0.305214,0.900452,-0.651794,-1.481875,-1.419455,-3.349825,1.574622,-0.295965,1.97891,1.477423,-0.195503,-0.508214,-0.012906,-1.349168,0.618795,0.849048,0.396565,-0.521048,0.89272,-0.300549,-0.945414,0.276398,1.595415,-1.095597,0.194742,-1.093553,-0.554589,1.176435,0.410728,1.335177,-2.36472,-0.013636,-0.869056,-1.580996,-0.417675,1.546998,-1.372673,1
-2.493755,2.217368,-1.664064,0.856327,1.166564,1.184576,0.750224,1.425728,0.07982,-3.109374,1.578601,1.569428,-1.510343,-1.779496,-0.066176,0.155332,0.966364,1.060273,1.30696,-0.288769,1.394257,-0.399923,-0.688505,-2.515745,1.476754,0.647866,-0.021034,-0.406838,0.585363,-1.828417,-0.378691,-0.290602,1.612582,2.409221,1.514588,1.155219,1.828844,0.931083,0.339221,-0.4862,-1.4819,-0.389315,0.261901,0.428173,0.535006,1.328295,1.30277,-1.189003,-0.852777,-0.059293,-1.041096,-1.541517,1.004891,-0.416923,1.418233,-2.017308,-2.318962,-1.139127,0.33291,0.271274,0.032219,-0.539735,-1.680248,-0.551675,0.391286,0.049624,0.373688,1.445712,1.978231,0.148301,0.352981,-0.475434,-0.529956,1.780092,0.341719,0.340949,-0.92176,-0.32064,0.474452,-0.435763,0
-3.785149,-1.981298,-1.071322,0.362225,0.418004,-1.557743,-1.321511,1.183874,-0.55461,-0.606594,-1.556399,0.317309,-1.29283,-0.947123,1.434564,-2.564656,-3.012932,1.705031,1.386397,1.68136,1.183047,-0.656117,-1.74816,-1.463007,0.890276,-0.486513,-1.549107,-0.763206,-2.457555,-2.035065,-1.518601,0.695204,-2.214003,-1.112752,-0.688752,3.06759,1.021893,2.767352,-2.624112,-2.426003,2.079392,-1.560901,-1.493683,-1.14332,-1.384104,2.272538,1.740827,-0.876572,2.55097,-1.041232,-2.478104,2.024917,-0.138453,1.731329,-0.804512,0.361852,0.617003,-0.697435,-2.70509,0.770464,1.568768,-2.488733,-2.439808,-1.270508,1.8351,-2.094634,-1.357744,-0.530555,0.31181,1.364532,-0.733678,0.87813,-2.289748,1.113213,-1.869043,-0.039101,1.958342,0.490807,1.363937,0.499311,1
-2.341084,-2.542078,3.511887,-1.569587,1.438666,-0.970744,0.698894,1.071124,1.686176,-0.278867,-1.273615,-0.650547,-1.396779,-0.588825,-2.062705,2.001449,0.840044,0.256446,0.977374,-0.54447,-1.057918,2.11386,-0.497847,1.054739,-0.529083,1.284093,-0.08333,-2.527769,1.604143,0.364726,-0.134332,1.502727,2.095209,-0.10169,-1.458397,1.35723,-2.768996,-3.025487,-0.386123,0.068969,-1.636384,1.53188,1.116189,0.295071,0.434893,-0.127966,-0.486255,0.957845,2.314155,-0.566862,0.513796,-0.598411,-2.640098,0.072254,-1.837897,-1.126356,-0.842342,0.646149,-1.118411,0.132538,0.701401,-0.277311,-1.359609,-0.745636,2.315828,-0.245557,1.201575,-0.326659,-0.088532,0.844206,1.438427,1.685151,-0.99069,-2.51269,0.119936,-1.949677,1.015925,0.422574,-0.286455,0.451297,0
